# PIPELINE DATA
# FITS FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# FLATFIELD FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [0,60] (ppm): 15.894
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [260,320] (ppm): 19.752
# FLUX	BKG_MODE	BKG_MEAN
1.285822906347070634e+07	7.083594971338243340e+01	1.000892436730129731e+02
1.285883620041690953e+07	7.079167826415643106e+01	9.799192254683860881e+01
1.285919178339396790e+07	6.786980100872762023e+01	9.824818852376580480e+01
1.285748344364545308e+07	6.949639625625697192e+01	9.922344544489224916e+01
1.285658400918412022e+07	6.828570484854401457e+01	9.904290033906686119e+01
1.285535313031508029e+07	7.011242563175220255e+01	9.959980595763236977e+01
1.286432880097070336e+07	6.615524473490928870e+01	9.907552504704113971e+01
1.285401220706406608e+07	7.292718531522641001e+01	9.749654240841896069e+01
1.285189540444942005e+07	7.110268462753451502e+01	9.856007362320360699e+01
1.285808502508009970e+07	6.604087558162913751e+01	9.737431060524481552e+01
1.285674859446588717e+07	7.247199641661867986e+01	9.808078694607468151e+01
1.285744982483769953e+07	7.147250235587239331e+01	9.706783831076377567e+01
1.285733653878664412e+07	6.789979775632792780e+01	9.739844485767780213e+01
1.284405458165737055e+07	6.701580443343902971e+01	9.732536451916347175e+01
1.285750814429122210e+07	6.837089337905486275e+01	9.679467598402038675e+01
1.285167265646922961e+07	6.737005239491685415e+01	9.787176808197416733e+01
1.285805330941057950e+07	6.634713656973957541e+01	9.697954831625119709e+01
1.285111662429141253e+07	6.861548703215026990e+01	9.849844529986910402e+01
1.285564045185581222e+07	6.958445883777248753e+01	9.871928853489060884e+01
1.286089540888250619e+07	4.975179676239579862e+01	9.799548531917992022e+01
1.285201147653869912e+07	7.199293190265629505e+01	9.872534971659091241e+01
1.285858855222553015e+07	7.024682212145621918e+01	9.934568911408797476e+01
1.284931307569979876e+07	6.680566991651302544e+01	9.945519105140036231e+01
1.285202241030861996e+07	6.615387376873385961e+01	9.754800070464611395e+01
1.285384146559150890e+07	6.524065176587116355e+01	9.812339782324963267e+01
1.285182494749894924e+07	6.887618405945593736e+01	9.772628769781441349e+01
1.285488793565473706e+07	6.740955190974950995e+01	9.722914673792729445e+01
1.285872860063774511e+07	6.448631370247414907e+01	9.521808565516376177e+01
1.284835692088322341e+07	6.846401016301395259e+01	9.530268906115952632e+01
1.285370803743922710e+07	6.077335227608944024e+01	9.225338808086986830e+01
